symbol,name,lastSale,marketCap,IPOYear,sector,industry,summaryQuote
VCLT,Vanguard Long-Term Corporate Bond ETF,86.62,$961.48M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vclt
VGLT,Vanguard Long-Term Government Bond ETF,75.23,$127.89M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vglt
VMBS,Vanguard Mortgage-Backed Securities ETF,52.93,$1.47B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vmbs
VNR,Vanguard Natural Resources LLC,8.73,$750.42M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vnr
VNRAP,Vanguard Natural Resources LLC,21.52,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vnrap
VNRBP,Vanguard Natural Resources LLC,16.92,$118.44M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vnrbp
VNRCP,Vanguard Natural Resources LLC,17.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vnrcp
VONE,Vanguard Russell 1000 ETF,97.0643,$533.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vone
VONG,Vanguard Russell 1000 Growth ETF,104.77,$471.47M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vong
VONV,Vanguard Russell 1000 Value ETF,89.81,$422.11M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vonv
VTWO,Vanguard Russell 2000 ETF,98.415,$600.33M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vtwo
VTWG,Vanguard Russell 2000 Growth ETF,112.87,$158.02M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vtwg
VTWV,Vanguard Russell 2000 Value ETF,85.34,$76.81M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vtwv
VTHR,Vanguard Russell 3000 ETF,97.16,$174.89M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vthr
VCSH,Vanguard Short-Term Corporate Bond ETF,79.32,$10.4B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vcsh
VGSH,Vanguard Short-Term Government ETF,61.03,$561.48M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vgsh
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,48.38,$1.75B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vtip
BNDX,Vanguard Total International Bond ETF,52.725,$3.46B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bndx
VXUS,Vanguard Total International Stock ETF,50.1,$4.9B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vxus
VPCO,Vapor Corp.,0.7,"$941,801 ",n/a,Consumer Non-Durables,Tobacco,http://www.nasdaq.com/symbol/vpco
VPCOU,Vapor Corp.,8.6,n/a,n/a,Consumer Non-Durables,Tobacco,http://www.nasdaq.com/symbol/vpcou
VRNS,"Varonis Systems, Inc.",21.19,$526.49M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/vrns
VDSI,"VASCO Data Security International, Inc.",19.61,$779.99M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/vdsi
VBLT,Vascular Biogenics Ltd.,5.78,$115.01M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vblt
VASC,"Vascular Solutions, Inc.",37.98,$657.88M,2000,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/vasc
VBIV,VBI Vaccines Inc.,2.44,$48.87M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/vbiv
WOOF,VCA Inc. ,58.35,$4.79B,2001,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/woof
VECO,Veeco Instruments Inc.,24.01,$979.35M,1994,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/veco
APPY,"Venaxis, Inc.",0.411,$12.74M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/appy
VRA,"Vera Bradley, Inc.",11.01,$434.31M,2010,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/vra
VCYT,"Veracyte, Inc.",10.91,$299.62M,2013,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/vcyt
VSTM,"Verastem, Inc.",7.12,$260.14M,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vstm
VCEL,Vericel Corporation,3.45,$82.06M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/vcel
VRNT,Verint Systems Inc.,57.74,$3.54B,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/vrnt
VRSN,"VeriSign, Inc.",71.07,$8.07B,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/vrsn
VRSK,"Verisk Analytics, Inc.",77.99,$13.14B,2009,Technology,EDP Services,http://www.nasdaq.com/symbol/vrsk
VBTX,"Veritex Holdings, Inc.",16.63,$177.59M,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/vbtx
VRML,"Vermillion, Inc.",1.97,$83.27M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/vrml
VSAR,"Versartis, Inc.",19.27,$563.96M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vsar
VTNR,"Vertex Energy, Inc",1.75,$49.32M,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/vtnr
VRTX,Vertex Pharmaceuticals Incorporated,141.22,$34.42B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vrtx
VRTA,"Vestin Realty Mortgage I, Inc.",3.6,$4.97M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/vrta
VRTB,"Vestin Realty Mortgage II, Inc.",3.451,$8.88M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/vrtb
VIA,Viacom Inc.,51.67,$20.51B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/via
VIAB,Viacom Inc.,51.41,$17.82B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/viab
VSAT,"ViaSat, Inc.",62.41,$3B,1996,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/vsat
VIAV,Viavi Solutions Inc.,6.29,$1.47B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/viav
VICL,Vical Incorporated,0.6156,$56.3M,1993,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/vicl
VICR,Vicor Corporation,10.77,$417.59M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/vicr
VBND,Vident Core U.S. Bond Strategy Fund,49.4899,$425.61M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vbnd
VUSE,Vident Core US Equity ETF,26.51,$384.4M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vuse
VIDI,Vident International Equity Fund,22.44,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vidi
VDTH,Videocon d2h Limited,12.51,$1.23B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/vdth
VGGL,Viggle Inc.,1.6,$34.13M,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vggl
VKTX,"Viking Therapeutics, Inc.",6.1,$59.68M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vktx
VBFC,Village Bank and Trust Financial Corp.,19.77,$27.75M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/vbfc
VLGEA,"Village Super Market, Inc.",28.69,$406.48M,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/vlgea
VIMC,Vimicro International Corporation,10.79,$277.4M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/vimc
